"","taxon","sample.month","variable","value"
"410","nr.pedicia","b.10","1993",0
"422","nymphom","b.10","1993",0
"434","oligo","b.10","1993",2812.5
"446","ormosia","b.10","1993",0
"458","paralepto","b.10","1993",0
"470","parapsyche","b.10","1993",0
"482","pediciaA","b.10","1993",0
"494","pelto","b.10","1993",443.75
"506","pgoera","b.10","1993",0
"518","pilaria","b.10","1993",0
"530","psilotreta","b.10","1993",6.25
"542","pslimnoph","b.10","1993",0
"554","pycno","b.10","1993",56.25
"566","rhabdom","b.10","1993",0
"578","rhyacoph","b.10","1993",68.75
"590","sciara","b.10","1993",37.5
"602","serratella","b.10","1993",25
"614","simulium","b.10","1993",0
"626","soyedina","b.10","1993",0
"638","sphaerid","b.10","1993",737.5
"650","stenonema","b.10","1993",6.25
"662","sweltsa","b.10","1993",56.25
"674","syrphid","b.10","1993",0
"686","tanypod","b.10","1993",2781.25
"698","tipula","b.10","1993",43.75
"710","turbell","b.10","1993",0
"722","wormsp","b.10","1993",0
"3","acari","c.11","1993",3370.75
"15","amphinem","c.11","1993",68.75
"27","anchytar","c.11","1993",12.5
"39","baetis","c.11","1993",0
"51","beloneur","c.11","1993",125
"63","ceratopog","c.11","1993",1254.25
"75","chironomid","c.11","1993",40510.5
"87","copepod","c.11","1993",14891.75
"99","corduleg","c.11","1993",18.75
"111","dicranota","c.11","1993",504.25
"123","diplosp","c.11","1993",168.75
"135","dixa","c.11","1993",0
"147","dolicho","c.11","1993",0
"159","dolophil","c.11","1993",0
"171","ectopria","c.11","1993",0
"183","elmid","c.11","1993",0
"195","empid","c.11","1993",398
"207","epeorus","c.11","1993",0
"219","fattigia","c.11","1993",37.5
"231","hexatomasp","c.11","1993",535.5
"243","hydroptila","c.11","1993",0
"255","isoperla","c.11","1993",131.25
"267","lanthus","c.11","1993",66.75
"279","lepidos","c.11","1993",0
"291","leptotars","c.11","1993",0
"303","leuctra","c.11","1993",129.25
"315","limonia","c.11","1993",0
"327","lipsothrix","c.11","1993",0
"339","lype","c.11","1993",56.25
"351","malirekus","c.11","1993",0
"363","molann","c.11","1993",12.5
"375","molophilus","c.11","1993",162.5
"387","nematoda","c.11","1993",11406.25
"399","neophylax","c.11","1993",50
"411","nr.pedicia","c.11","1993",12.5
"423","nymphom","c.11","1993",0
"435","oligo","c.11","1993",2043.75
"447","ormosia","c.11","1993",0
"459","paralepto","c.11","1993",173
"471","parapsyche","c.11","1993",0
"483","pediciaA","c.11","1993",6.25
"495","pelto","c.11","1993",1079.25
"507","pgoera","c.11","1993",0
"519","pilaria","c.11","1993",0
"531","psilotreta","c.11","1993",6.25
"543","pslimnoph","c.11","1993",0
"555","pycno","c.11","1993",318.75
"567","rhabdom","c.11","1993",0
"579","rhyacoph","c.11","1993",37.5
"591","sciara","c.11","1993",0
"603","serratella","c.11","1993",6.25
"615","simulium","c.11","1993",0
"627","soyedina","c.11","1993",0
"639","sphaerid","c.11","1993",0
"651","stenonema","c.11","1993",37.5
"663","sweltsa","c.11","1993",12.5
"675","syrphid","c.11","1993",0
"687","tanypod","c.11","1993",1498.25
"699","tipula","c.11","1993",56.25
"711","turbell","c.11","1993",16.75
"723","wormsp","c.11","1993",35.5
"4","acari","d.12","1993",3081.25
"16","amphinem","d.12","1993",18.75
"28","anchytar","d.12","1993",12.5
"40","baetis","d.12","1993",0
"52","beloneur","d.12","1993",18.75
"64","ceratopog","d.12","1993",2112.5
"76","chironomid","d.12","1993",39450
"88","copepod","d.12","1993",10800
"100","corduleg","d.12","1993",25
"112","dicranota","d.12","1993",50
"124","diplosp","d.12","1993",131.25
"136","dixa","d.12","1993",0
"148","dolicho","d.12","1993",0
"160","dolophil","d.12","1993",0
"172","ectopria","d.12","1993",6.25
"184","elmid","d.12","1993",25
"196","empid","d.12","1993",956.25
"208","epeorus","d.12","1993",0
"220","fattigia","d.12","1993",12.5
"232","hexatomasp","d.12","1993",425
"244","hydroptila","d.12","1993",0
"256","isoperla","d.12","1993",6.25
"268","lanthus","d.12","1993",31.25
"280","lepidos","d.12","1993",0
"292","leptotars","d.12","1993",0
"304","leuctra","d.12","1993",381.25
"316","limonia","d.12","1993",0
"328","lipsothrix","d.12","1993",0
"340","lype","d.12","1993",87.5
"352","malirekus","d.12","1993",0
"364","molann","d.12","1993",0
"376","molophilus","d.12","1993",525
"388","nematoda","d.12","1993",25268.75
"400","neophylax","d.12","1993",87.5
"412","nr.pedicia","d.12","1993",31.25
"424","nymphom","d.12","1993",0
"436","oligo","d.12","1993",5556.25
"448","ormosia","d.12","1993",0
"460","paralepto","d.12","1993",68.75
"472","parapsyche","d.12","1993",0
"484","pediciaA","d.12","1993",0
"496","pelto","d.12","1993",75
"508","pgoera","d.12","1993",50
"520","pilaria","d.12","1993",0
"532","psilotreta","d.12","1993",0
"544","pslimnoph","d.12","1993",6.25
"556","pycno","d.12","1993",18.75
"568","rhabdom","d.12","1993",0
"580","rhyacoph","d.12","1993",56.25
"592","sciara","d.12","1993",43.75
"604","serratella","d.12","1993",0
"616","simulium","d.12","1993",0
"628","soyedina","d.12","1993",31.25
"640","sphaerid","d.12","1993",0
"652","stenonema","d.12","1993",0
"664","sweltsa","d.12","1993",550
"676","syrphid","d.12","1993",0
"688","tanypod","d.12","1993",968.75
"700","tipula","d.12","1993",25
"712","turbell","d.12","1993",0
"724","wormsp","d.12","1993",6.25
"5","acari","e.1","1993",4675
"17","amphinem","e.1","1993",12.5
"29","anchytar","e.1","1993",0
"41","baetis","e.1","1993",0
"53","beloneur","e.1","1993",0
"65","ceratopog","e.1","1993",2318.75
"77","chironomid","e.1","1993",23681.25
"89","copepod","e.1","1993",10662.5
"101","corduleg","e.1","1993",6.25
"113","dicranota","e.1","1993",25
"125","diplosp","e.1","1993",56.25
"137","dixa","e.1","1993",0
"149","dolicho","e.1","1993",12.5
"161","dolophil","e.1","1993",0
"173","ectopria","e.1","1993",0
"185","elmid","e.1","1993",0
"197","empid","e.1","1993",450
"209","epeorus","e.1","1993",0
"221","fattigia","e.1","1993",43.75
"233","hexatomasp","e.1","1993",587.5
"245","hydroptila","e.1","1993",0
"257","isoperla","e.1","1993",6.25
"269","lanthus","e.1","1993",18.75
"281","lepidos","e.1","1993",0
"293","leptotars","e.1","1993",0
"305","leuctra","e.1","1993",2568.75
"317","limonia","e.1","1993",0
"329","lipsothrix","e.1","1993",0
"341","lype","e.1","1993",12.5
"353","malirekus","e.1","1993",0
"365","molann","e.1","1993",0
"377","molophilus","e.1","1993",150
"389","nematoda","e.1","1993",22187.5
"401","neophylax","e.1","1993",0
"413","nr.pedicia","e.1","1993",12.5
"425","nymphom","e.1","1993",0
"437","oligo","e.1","1993",3575
"449","ormosia","e.1","1993",0
"461","paralepto","e.1","1993",25
"473","parapsyche","e.1","1993",12.5
"485","pediciaA","e.1","1993",0
"497","pelto","e.1","1993",218.75
"509","pgoera","e.1","1993",0
"521","pilaria","e.1","1993",0
"533","psilotreta","e.1","1993",0
"545","pslimnoph","e.1","1993",0
"557","pycno","e.1","1993",81.25
"569","rhabdom","e.1","1993",0
"581","rhyacoph","e.1","1993",6.25
"593","sciara","e.1","1993",50
"605","serratella","e.1","1993",6.25
"617","simulium","e.1","1993",0
"629","soyedina","e.1","1993",0
"641","sphaerid","e.1","1993",12.5
"653","stenonema","e.1","1993",12.5
"665","sweltsa","e.1","1993",6.25
"677","syrphid","e.1","1993",0
"689","tanypod","e.1","1993",1387.5
"701","tipula","e.1","1993",31.25
"713","turbell","e.1","1993",0
"725","wormsp","e.1","1993",0
"6","acari","f.2","1993",2700
"18","amphinem","f.2","1993",0
"30","anchytar","f.2","1993",0
"42","baetis","f.2","1993",0
"54","beloneur","f.2","1993",18.75
"66","ceratopog","f.2","1993",2962.75
"78","chironomid","f.2","1993",20781.25
"90","copepod","f.2","1993",7856.25
"102","corduleg","f.2","1993",0
"114","dicranota","f.2","1993",37.5
"126","diplosp","f.2","1993",25
"138","dixa","f.2","1993",0
"150","dolicho","f.2","1993",6.25
"162","dolophil","f.2","1993",0
"174","ectopria","f.2","1993",0
"186","elmid","f.2","1993",0
"198","empid","f.2","1993",56.25
"210","epeorus","f.2","1993",0
"222","fattigia","f.2","1993",62.5
"234","hexatomasp","f.2","1993",150
"246","hydroptila","f.2","1993",0
"258","isoperla","f.2","1993",25
"270","lanthus","f.2","1993",18.75
"282","lepidos","f.2","1993",0
"294","leptotars","f.2","1993",0
"306","leuctra","f.2","1993",200
"318","limonia","f.2","1993",0
"330","lipsothrix","f.2","1993",0
"342","lype","f.2","1993",212.5
"354","malirekus","f.2","1993",0
"366","molann","f.2","1993",0
"378","molophilus","f.2","1993",75
"390","nematoda","f.2","1993",7350
"402","neophylax","f.2","1993",0
"414","nr.pedicia","f.2","1993",31.25
"426","nymphom","f.2","1993",0
"438","oligo","f.2","1993",856.25
"450","ormosia","f.2","1993",0
"462","paralepto","f.2","1993",12.5
"474","parapsyche","f.2","1993",0
"486","pediciaA","f.2","1993",0
"498","pelto","f.2","1993",75
"510","pgoera","f.2","1993",50
"522","pilaria","f.2","1993",6.25
"534","psilotreta","f.2","1993",0
"546","pslimnoph","f.2","1993",0
"558","pycno","f.2","1993",56.25
"570","rhabdom","f.2","1993",0
"582","rhyacoph","f.2","1993",12.5
"594","sciara","f.2","1993",62.5
"606","serratella","f.2","1993",18.75
"618","simulium","f.2","1993",0
"630","soyedina","f.2","1993",0
"642","sphaerid","f.2","1993",31.25
"654","stenonema","f.2","1993",25
"666","sweltsa","f.2","1993",0
"678","syrphid","f.2","1993",0
"690","tanypod","f.2","1993",1375
"702","tipula","f.2","1993",12.5
"714","turbell","f.2","1993",0
"726","wormsp","f.2","1993",12.5
"7","acari","g.3","1993",1233.25
"19","amphinem","g.3","1993",0
"31","anchytar","g.3","1993",0
"43","baetis","g.3","1993",0
"55","beloneur","g.3","1993",6.25
"67","ceratopog","g.3","1993",902
"79","chironomid","g.3","1993",16725
"91","copepod","g.3","1993",4533.25
"103","corduleg","g.3","1993",12.5
"115","dicranota","g.3","1993",18.75
"127","diplosp","g.3","1993",62.5
"139","dixa","g.3","1993",0
"151","dolicho","g.3","1993",0
"163","dolophil","g.3","1993",0
"175","ectopria","g.3","1993",0
"187","elmid","g.3","1993",50
"199","empid","g.3","1993",270.75
"211","epeorus","g.3","1993",0
"223","fattigia","g.3","1993",25
"235","hexatomasp","g.3","1993",287.5
"247","hydroptila","g.3","1993",0
"259","isoperla","g.3","1993",0
"271","lanthus","g.3","1993",12.5
"283","lepidos","g.3","1993",0
"295","leptotars","g.3","1993",0
"307","leuctra","g.3","1993",150
"319","limonia","g.3","1993",0
"331","lipsothrix","g.3","1993",0
"343","lype","g.3","1993",6.25
"355","malirekus","g.3","1993",0
"367","molann","g.3","1993",0
"379","molophilus","g.3","1993",225
"391","nematoda","g.3","1993",7625
"403","neophylax","g.3","1993",18.75
"415","nr.pedicia","g.3","1993",31.25
"427","nymphom","g.3","1993",0
"439","oligo","g.3","1993",1630
"451","ormosia","g.3","1993",0
"463","paralepto","g.3","1993",56.25
"475","parapsyche","g.3","1993",0
"487","pediciaA","g.3","1993",0
"499","pelto","g.3","1993",0
"511","pgoera","g.3","1993",0
"523","pilaria","g.3","1993",6.25
"535","psilotreta","g.3","1993",0
"547","pslimnoph","g.3","1993",0
"559","pycno","g.3","1993",0
"571","rhabdom","g.3","1993",0
"583","rhyacoph","g.3","1993",18.75
"595","sciara","g.3","1993",6.25
"607","serratella","g.3","1993",6.25
"619","simulium","g.3","1993",0
"631","soyedina","g.3","1993",0
"643","sphaerid","g.3","1993",6.25
"655","stenonema","g.3","1993",6.25
"667","sweltsa","g.3","1993",0
"679","syrphid","g.3","1993",0
"691","tanypod","g.3","1993",427
"703","tipula","g.3","1993",25
"715","turbell","g.3","1993",0
"727","wormsp","g.3","1993",0
"8","acari","h.4","1993",2856.25
"20","amphinem","h.4","1993",0
"32","anchytar","h.4","1993",6.25
"44","baetis","h.4","1993",56.25
"56","beloneur","h.4","1993",87.5
"68","ceratopog","h.4","1993",1493.75
"80","chironomid","h.4","1993",18443.75
"92","copepod","h.4","1993",17012.5
"104","corduleg","h.4","1993",0
"116","dicranota","h.4","1993",18.75
"128","diplosp","h.4","1993",31.25
"140","dixa","h.4","1993",0
"152","dolicho","h.4","1993",0
"164","dolophil","h.4","1993",6.25
"176","ectopria","h.4","1993",0
"188","elmid","h.4","1993",0
"200","empid","h.4","1993",225
"212","epeorus","h.4","1993",0
"224","fattigia","h.4","1993",93.75
"236","hexatomasp","h.4","1993",225
"248","hydroptila","h.4","1993",0
"260","isoperla","h.4","1993",62.5
"272","lanthus","h.4","1993",18.75
"284","lepidos","h.4","1993",0
"296","leptotars","h.4","1993",0
"308","leuctra","h.4","1993",437.5
"320","limonia","h.4","1993",0
"332","lipsothrix","h.4","1993",0
"344","lype","h.4","1993",18.75
"356","malirekus","h.4","1993",0
"368","molann","h.4","1993",6.25
"380","molophilus","h.4","1993",212.5
"392","nematoda","h.4","1993",12343.75
"404","neophylax","h.4","1993",0
"416","nr.pedicia","h.4","1993",43.75
"428","nymphom","h.4","1993",0
"440","oligo","h.4","1993",11006.25
"452","ormosia","h.4","1993",0
"464","paralepto","h.4","1993",6.25
"476","parapsyche","h.4","1993",6.25
"488","pediciaA","h.4","1993",6.25
"500","pelto","h.4","1993",6.25
"512","pgoera","h.4","1993",6.25
"524","pilaria","h.4","1993",0
"536","psilotreta","h.4","1993",0
"548","pslimnoph","h.4","1993",0
"560","pycno","h.4","1993",50
"572","rhabdom","h.4","1993",0
"584","rhyacoph","h.4","1993",12.5
"596","sciara","h.4","1993",31.25
"608","serratella","h.4","1993",0
"620","simulium","h.4","1993",0
"632","soyedina","h.4","1993",0
"644","sphaerid","h.4","1993",0
"656","stenonema","h.4","1993",18.75
"668","sweltsa","h.4","1993",0
"680","syrphid","h.4","1993",0
"692","tanypod","h.4","1993",662.5
"704","tipula","h.4","1993",37.5
"716","turbell","h.4","1993",0
"728","wormsp","h.4","1993",0
"9","acari","i.5","1993",1450
"21","amphinem","i.5","1993",6.25
"33","anchytar","i.5","1993",0
"45","baetis","i.5","1993",0
"57","beloneur","i.5","1993",212.5
"69","ceratopog","i.5","1993",1356.25
"81","chironomid","i.5","1993",14356.25
"93","copepod","i.5","1993",11225
"105","corduleg","i.5","1993",0
"117","dicranota","i.5","1993",25
"129","diplosp","i.5","1993",118.75
"141","dixa","i.5","1993",0
"153","dolicho","i.5","1993",0
"165","dolophil","i.5","1993",0
"177","ectopria","i.5","1993",25
"189","elmid","i.5","1993",0
"201","empid","i.5","1993",150
"213","epeorus","i.5","1993",0
"225","fattigia","i.5","1993",31.25
"237","hexatomasp","i.5","1993",137.5
"249","hydroptila","i.5","1993",0
"261","isoperla","i.5","1993",0
"273","lanthus","i.5","1993",6.25
"285","lepidos","i.5","1993",0
"297","leptotars","i.5","1993",0
"309","leuctra","i.5","1993",256.25
"321","limonia","i.5","1993",0
"333","lipsothrix","i.5","1993",0
"345","lype","i.5","1993",56.25
"357","malirekus","i.5","1993",0
"369","molann","i.5","1993",0
"381","molophilus","i.5","1993",443.75
"393","nematoda","i.5","1993",4562.5
"405","neophylax","i.5","1993",6.25
"417","nr.pedicia","i.5","1993",0
"429","nymphom","i.5","1993",0
"441","oligo","i.5","1993",2237.5
"453","ormosia","i.5","1993",0
"465","paralepto","i.5","1993",0
"477","parapsyche","i.5","1993",0
"489","pediciaA","i.5","1993",0
"501","pelto","i.5","1993",0
"513","pgoera","i.5","1993",6.25
"525","pilaria","i.5","1993",0
"537","psilotreta","i.5","1993",0
"549","pslimnoph","i.5","1993",0
"561","pycno","i.5","1993",50
"573","rhabdom","i.5","1993",0
"585","rhyacoph","i.5","1993",6.25
"597","sciara","i.5","1993",6.25
"609","serratella","i.5","1993",6.25
"621","simulium","i.5","1993",0
"633","soyedina","i.5","1993",0
"645","sphaerid","i.5","1993",0
"657","stenonema","i.5","1993",0
"669","sweltsa","i.5","1993",0
"681","syrphid","i.5","1993",0
"693","tanypod","i.5","1993",6.25
"705","tipula","i.5","1993",6.25
"717","turbell","i.5","1993",25
"729","wormsp","i.5","1993",6.3
"10","acari","j.6","1993",1950
"22","amphinem","j.6","1993",0
"34","anchytar","j.6","1993",0
"46","baetis","j.6","1993",0
"58","beloneur","j.6","1993",50
"70","ceratopog","j.6","1993",325
"82","chironomid","j.6","1993",11831.25
"94","copepod","j.6","1993",12706.25
"106","corduleg","j.6","1993",0
"118","dicranota","j.6","1993",0
"130","diplosp","j.6","1993",375
"142","dixa","j.6","1993",6.25
"154","dolicho","j.6","1993",0
"166","dolophil","j.6","1993",0
"178","ectopria","j.6","1993",0
"190","elmid","j.6","1993",0
"202","empid","j.6","1993",193.75
"214","epeorus","j.6","1993",0
"226","fattigia","j.6","1993",6.25
"238","hexatomasp","j.6","1993",31.25
"250","hydroptila","j.6","1993",0
"262","isoperla","j.6","1993",0
"274","lanthus","j.6","1993",0
"286","lepidos","j.6","1993",0
"298","leptotars","j.6","1993",0
"310","leuctra","j.6","1993",400
"322","limonia","j.6","1993",0
"334","lipsothrix","j.6","1993",125
"346","lype","j.6","1993",131.25
"358","malirekus","j.6","1993",0
"370","molann","j.6","1993",6.25
"382","molophilus","j.6","1993",6.25
"394","nematoda","j.6","1993",6300
"406","neophylax","j.6","1993",0
"418","nr.pedicia","j.6","1993",12.5
"430","nymphom","j.6","1993",0
"442","oligo","j.6","1993",1243.75
"454","ormosia","j.6","1993",0
"466","paralepto","j.6","1993",0
"478","parapsyche","j.6","1993",0
"490","pediciaA","j.6","1993",0
"502","pelto","j.6","1993",112.5
"514","pgoera","j.6","1993",0
"526","pilaria","j.6","1993",0
"538","psilotreta","j.6","1993",0
"550","pslimnoph","j.6","1993",0
"562","pycno","j.6","1993",25
"574","rhabdom","j.6","1993",0
"586","rhyacoph","j.6","1993",0
"598","sciara","j.6","1993",18.75
"610","serratella","j.6","1993",25
"622","simulium","j.6","1993",0
"634","soyedina","j.6","1993",56.25
"646","sphaerid","j.6","1993",0
"658","stenonema","j.6","1993",0
"670","sweltsa","j.6","1993",62.5
"682","syrphid","j.6","1993",0
"694","tanypod","j.6","1993",193.75
"706","tipula","j.6","1993",12.5
"718","turbell","j.6","1993",25
"730","wormsp","j.6","1993",6.3
"11","acari","k.7","1993",1763.25
"23","amphinem","k.7","1993",0
"35","anchytar","k.7","1993",6.25
"47","baetis","k.7","1993",0
"59","beloneur","k.7","1993",18.75
"71","ceratopog","k.7","1993",2533
"83","chironomid","k.7","1993",19529.25
"95","copepod","k.7","1993",6536.5
"107","corduleg","k.7","1993",12.5
"119","dicranota","k.7","1993",31.25
"131","diplosp","k.7","1993",168.75
"143","dixa","k.7","1993",0
"155","dolicho","k.7","1993",0
"167","dolophil","k.7","1993",0
"179","ectopria","k.7","1993",0
"191","elmid","k.7","1993",0
"203","empid","k.7","1993",0
"215","epeorus","k.7","1993",0
"227","fattigia","k.7","1993",31.25
"239","hexatomasp","k.7","1993",401.75
"251","hydroptila","k.7","1993",0
"263","isoperla","k.7","1993",100
"275","lanthus","k.7","1993",18.75
"287","lepidos","k.7","1993",0
"299","leptotars","k.7","1993",0
"311","leuctra","k.7","1993",949.75
"323","limonia","k.7","1993",0
"335","lipsothrix","k.7","1993",0
"347","lype","k.7","1993",150
"359","malirekus","k.7","1993",0
"371","molann","k.7","1993",0
"383","molophilus","k.7","1993",18.75
"395","nematoda","k.7","1993",4551.75
"407","neophylax","k.7","1993",0
"419","nr.pedicia","k.7","1993",300
"431","nymphom","k.7","1993",0
"443","oligo","k.7","1993",1758
"455","ormosia","k.7","1993",0
"467","paralepto","k.7","1993",6.25
"479","parapsyche","k.7","1993",0
"491","pediciaA","k.7","1993",0
"503","pelto","k.7","1993",713.25
"515","pgoera","k.7","1993",25
"527","pilaria","k.7","1993",0
"539","psilotreta","k.7","1993",200
"551","pslimnoph","k.7","1993",18.75
"563","pycno","k.7","1993",56.25
"575","rhabdom","k.7","1993",0
"587","rhyacoph","k.7","1993",62.5
"599","sciara","k.7","1993",50
"611","serratella","k.7","1993",0
"623","simulium","k.7","1993",0
"635","soyedina","k.7","1993",0
"647","sphaerid","k.7","1993",68.75
"659","stenonema","k.7","1993",12.5
"671","sweltsa","k.7","1993",0
"683","syrphid","k.7","1993",0
"695","tanypod","k.7","1993",1826.75
"707","tipula","k.7","1993",25
"719","turbell","k.7","1993",0
"731","wormsp","k.7","1993",0
"12","acari","l.8","1993",1900
"24","amphinem","l.8","1993",0
"36","anchytar","l.8","1993",0
"48","baetis","l.8","1993",0
"60","beloneur","l.8","1993",0
"72","ceratopog","l.8","1993",5306.25
"84","chironomid","l.8","1993",27418.75
"96","copepod","l.8","1993",27700
"108","corduleg","l.8","1993",100
"120","dicranota","l.8","1993",25
"132","diplosp","l.8","1993",837.5
"144","dixa","l.8","1993",0
"156","dolicho","l.8","1993",0
"168","dolophil","l.8","1993",200
"180","ectopria","l.8","1993",0
"192","elmid","l.8","1993",0
"204","empid","l.8","1993",31.25
"216","epeorus","l.8","1993",0
"228","fattigia","l.8","1993",325
"240","hexatomasp","l.8","1993",525
"252","hydroptila","l.8","1993",0
"264","isoperla","l.8","1993",6.25
"276","lanthus","l.8","1993",25
"288","lepidos","l.8","1993",0
"300","leptotars","l.8","1993",0
"312","leuctra","l.8","1993",31.25
"324","limonia","l.8","1993",100
"336","lipsothrix","l.8","1993",0
"348","lype","l.8","1993",0
"360","malirekus","l.8","1993",200
"372","molann","l.8","1993",256.25
"384","molophilus","l.8","1993",643.75
"396","nematoda","l.8","1993",7231.25
"408","neophylax","l.8","1993",0
"420","nr.pedicia","l.8","1993",6.25
"432","nymphom","l.8","1993",0
"444","oligo","l.8","1993",8831.25
"456","ormosia","l.8","1993",0
"468","paralepto","l.8","1993",200
"480","parapsyche","l.8","1993",0
"492","pediciaA","l.8","1993",0
"504","pelto","l.8","1993",1331.25
"516","pgoera","l.8","1993",100
"528","pilaria","l.8","1993",0
"540","psilotreta","l.8","1993",0
"552","pslimnoph","l.8","1993",6.25
"564","pycno","l.8","1993",37.5
"576","rhabdom","l.8","1993",0
"588","rhyacoph","l.8","1993",406.25
"600","sciara","l.8","1993",256.25
"612","serratella","l.8","1993",6.25
"624","simulium","l.8","1993",0
"636","soyedina","l.8","1993",100
"648","sphaerid","l.8","1993",100
"660","stenonema","l.8","1993",0
"672","sweltsa","l.8","1993",0
"684","syrphid","l.8","1993",0
"696","tanypod","l.8","1993",2300
"708","tipula","l.8","1993",93.75
"720","turbell","l.8","1993",0
"732","wormsp","l.8","1993",0
"733","acari","a.9","1994",2240
"745","amphinem","a.9","1994",6.25
"757","anchytar","a.9","1994",6.25
"769","baetis","a.9","1994",0
"781","beloneur","a.9","1994",25
"793","ceratopog","a.9","1994",3297.5
"805","chironomid","a.9","1994",12595
"817","copepod","a.9","1994",15840
"829","corduleg","a.9","1994",262.5
"841","dicranota","a.9","1994",18.75
"853","diplosp","a.9","1994",712.5
"865","dixa","a.9","1994",0
"877","dolicho","a.9","1994",25
"889","dolophil","a.9","1994",0
"901","ectopria","a.9","1994",6.25
"913","elmid","a.9","1994",0
"925","empid","a.9","1994",200
"937","epeorus","a.9","1994",0
"949","fattigia","a.9","1994",75
"961","hexatomasp","a.9","1994",643.75
"973","hydroptila","a.9","1994",0
"985","isoperla","a.9","1994",206.25
"997","lanthus","a.9","1994",225
"1009","lepidos","a.9","1994",50
"1021","leptotars","a.9","1994",0
"1033","leuctra","a.9","1994",481.25
"1045","limonia","a.9","1994",0
"1057","lipsothrix","a.9","1994",12.5
"1069","lype","a.9","1994",31.25
"1081","malirekus","a.9","1994",0
"1093","molann","a.9","1994",143.75
"1105","molophilus","a.9","1994",437.5
"1117","nematoda","a.9","1994",14986.25
"1129","neophylax","a.9","1994",0
"1141","nr.pedicia","a.9","1994",331.25
"1153","nymphom","a.9","1994",0
"1165","oligo","a.9","1994",1781.25
"1177","ormosia","a.9","1994",12.5
"1189","paralepto","a.9","1994",80
"1201","parapsyche","a.9","1994",0
"1213","pediciaA","a.9","1994",31.25
"1225","pelto","a.9","1994",656.25
"1237","pgoera","a.9","1994",0
"1249","pilaria","a.9","1994",0
"1261","psilotreta","a.9","1994",18.75
"1273","pslimnoph","a.9","1994",0
"1285","pycno","a.9","1994",62.5
"1297","rhabdom","a.9","1994",0
